id,name,introduction,code_list,url,img_url
cnn_john-avlon-profie,John  Avlon ,"John Avlon is senior political analyst and fill-in anchor at CNN, appearing on New Day every morning. Previously, he was the editor-in-chief and managing director of The Daily Beast.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/johnavlon'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/JohnAvlon'}]",https://us.cnn.com/profiles/john-avlon-profie,https://cdn.cnn.com/cnnnext/dam/assets/191209163239-john-avlon-2019-large-169.jpg
cnn_zain-asher-profile,Zain Asher,"Zain Asher is an anchor for CNN International based in New York. She anchors the new global news program, ","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/zainashercnn'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/zainasher'}]",https://us.cnn.com/profiles/zain-asher-profile,https://cdn.cnn.com/cnnnext/dam/assets/190212150843-zain-asher-profile-photo-large-169.jpg
cnn_wolf-blitzer-profile,Wolf Blitzer,"Wolf Blitzer is anchor of CNN's The Situation Room with Wolf Blitzer, which airs weekdays at 6 p.m. ET.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/WolfBlitzer'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/wolfblitzer'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/wolfblitzer'}]",https://us.cnn.com/profiles/wolf-blitzer-profile,https://cdn.cnn.com/cnnnext/dam/assets/140324160316-wolf-blitzer-profile-large-169.jpg
cnn_guillermo-arduino-profile,Guillermo Arduino,Guillermo Arduino is a CNN Anchor and Correspondent for the CNN Networks based at the CNN Center in Atlanta.,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/guillermo.arduino'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/arduinoCNN'}]",https://us.cnn.com/profiles/guillermo-arduino-profile,https://cdn.cnn.com/cnnnext/dam/assets/170821111254-guillermo-arduino-profile-large-169.jpg
cnn_alisyn-camerota-profile,Alisyn Camerota,"Alisyn Camerota is a journalist, author and anchor of CNN Newsroom with Victor Blackwell, weekdays from 2-4pm in New York, New York. ","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/AlisynCamerota'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/AlisynCamerota'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/alisyncamerota'}]",https://us.cnn.com/profiles/alisyn-camerota-profile,https://cdn.cnn.com/cnnnext/dam/assets/150123135830-alisyn-camerota-image-large-169.jpg
cnn_christiane-amanpour-profile,Christiane Amanpour,"Christiane Amanpour is CNN's chief international anchor of the network's award-winning, flagship global affairs programme ","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/camanpour'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/camanpour'}]",https://us.cnn.com/profiles/christiane-amanpour-profile,https://cdn.cnn.com/cnnnext/dam/assets/181101161303-christiane-amanpour-headshot-large-169.jpg
cnn_pamela-brown-profile,Pamela Brown,"CNN anchor and senior Washington correspondent Pamela Brown joined the network in 2013. She currently anchors the weekend primetime edition of CNN Newsroom based in Washington, DC.","[{'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/PamelaBrownCNN'}]",https://us.cnn.com/profiles/pamela-brown-profile,https://cdn.cnn.com/cnnnext/dam/assets/220307181349-pamela-brown-headshot-large-169.jpg
cnn_carl-azuz,Carl Azuz,"Carl Azuz is the anchor of CNN 10, a 10-minute digital news show that explains global news to a global audience.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/CNNStudentNews'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/CarlAzuzCNN'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/carlazuz_cnnstudentnews'}]",https://us.cnn.com/profiles/carl-azuz,https://cdn.cnn.com/cnnnext/dam/assets/140926155325-carl-azuz-profile-image-large-169.jpg
cnn_andy-scholes,Andy Scholes,Andy Scholes is a Sports Anchor based out of Atlanta. He provides Bleacher Report updates across CNN & HLN.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/andyscholescnn'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/andyscholescnn'}]",https://us.cnn.com/profiles/andy-scholes,https://cdn.cnn.com/cnnnext/dam/assets/141222170945-andy-scholes-profile-large-169.jpg
cnn_john-berman-profile,John Berman,"John Berman is the co-anchor of ""New Day"" with Brianna Keilar.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/johnberman'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/JohnBerman'}]",https://us.cnn.com/profiles/john-berman-profile,https://cdn.cnn.com/cnnnext/dam/assets/140325104338-john-berman-profile-large-169.jpg
cnn_christine-romans,Christine Romans,"Christine Romans is the anchor of ""Early Start"" with Laura Jarrett and CNN's Chief Business Correspondent.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/pages/Christine-Romans/111418082214705?ref=br_tf'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/christineromans'}]",https://us.cnn.com/profiles/christine-romans,https://cdn.cnn.com/cnnnext/dam/assets/141218153113-christine-romans-profile-image-large-169.jpg
cnn_dana-bash-profile,Dana Bash,"Dana Bash is CNN's chief political correspondent and co-anchor of State of the Union with Jake Tapper and Dana Bash, the network's Sunday morning newsmaker show. ","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/DanaBashCNN'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/danabashcnn'}]",https://us.cnn.com/profiles/dana-bash-profile,https://cdn.cnn.com/cnnnext/dam/assets/171101122516-dana-bash-profile-photo-large-169.jpg
cnn_lisa-ling-profile,Lisa Ling,"Award-winning journalist Lisa Ling is the host and executive producer of the CNN Original Series, ","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/Ling'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/lisaling'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/lisalingstagram'}]",https://us.cnn.com/profiles/lisa-ling-profile,https://cdn.cnn.com/cnnnext/dam/assets/150609093845-lisa-ling-profile-large-169.jpg
cnn_calvin-sims,Calvin Sims,"Calvin Sims is executive vice president of Standards and Practices for CNN Worldwide. He is an accomplished media executive, with more than 30 years of experience in news, foreign affairs and philanthropy, serving in senior roles at International House, The New York Times, Discovery Times Channel, Ford Foundation and Council on Foreign Relations. ",[],https://us.cnn.com/profiles/calvin-sims,https://cdn.cnn.com/cnnnext/dam/assets/201112155647-calvin-sims-large-169.jpg
cnn_victor-blackwell,Victor Blackwell,"Victor Blackwell is a correspondent and anchor of CNN Newsroom with Alisyn Camerota, weekdays from 2-4pm in New York, New York.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/VictorCNN/'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/VictorCNN'}]",https://us.cnn.com/profiles/victor-blackwell,https://cdn.cnn.com/cnnnext/dam/assets/161011102507-victor-blackwell-bio-image-large-169.jpg
cnn_becky-anderson-profile,Becky Anderson,Becky Anderson is one of CNN International's highest profile anchors. She hosts ,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/BeckyCNN'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/beckycnn'}]",https://us.cnn.com/profiles/becky-anderson-profile,https://cdn.cnn.com/cnnnext/dam/assets/140325154007-becky-anderson-profile-large-169.jpg
cnn_rani-r-raad-profile,Rani R. Raad, ,[],https://us.cnn.com/profiles/rani-r-raad-profile,https://cdn.cnn.com/cnnnext/dam/assets/180626155004-rani-raad-profile-large-169.jpg
cnn_andrew-morse-profile,Andrew Morse,"Andrew Morse is Executive Vice President and Chief Digital Officer of CNN Worldwide and Head of CNN+. Morse is responsible for CNN's global digital business, including CNN+, the organization's direct-to-consumer platform, the core CNN Digital editorial product and business, CNN Audio and CNN Underscored. Morse also oversees the CNN Español television network and digital business.",[],https://us.cnn.com/profiles/andrew-morse-profile,https://cdn.cnn.com/cnnnext/dam/assets/170824152057-andrew-morse-profile-large-169.jpg
cnn_don-riddell,Don Riddell,Don Riddell is an anchor and correspondent for ,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/donriddelltv'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/donriddellcnn'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/donriddell'}]",https://us.cnn.com/profiles/don-riddell,https://cdn.cnn.com/cnnnext/dam/assets/181221134226-don-riddell-profile-photo-large-169.jpg
cnn_julian-zelizer,Julian Zelizer ,Julian Zelizer is a professor of history and public affairs at Princeton University and a New America fellow.  ,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/julianzelizer'}]",https://us.cnn.com/profiles/julian-zelizer,https://cdn.cnn.com/cnnnext/dam/assets/140926165927-julian-e-zelizer-profile-image-large-169.jpg
cnn_lisa-reeves,Lisa Reeves,Lisa Reeves is Senior Vice President for Talent Negotiations for CNN Worldwide.,[],https://us.cnn.com/profiles/lisa-reeves,https://cdn.cnn.com/cnnnext/dam/assets/201111143727-lisa-reeves-large-169.jpg
cnn_holly-yan,Holly Yan,"Holly Yan is a senior writer for CNN Digital, reporting national breaking news, explanatory articles and in-depth features. Follow her on Twitter: ",[],https://us.cnn.com/profiles/holly-yan,https://cdn.cnn.com/cnnnext/dam/assets/171019113510-holly-yan-profile-new-large-169.jpg
cnn_tom-sater,Tom Sater,"Tom Sater is a meteorologist and weather anchor for CNN International. A five-time Emmy winning meteorologist, Sater has also provided reports on sister networks CNN/U.S. and HLN.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/TomSaterCNN'}]",https://us.cnn.com/profiles/tom-sater,https://cdn.cnn.com/cnnnext/dam/assets/150106174855-tom-sater-profile-large-169.jpg
cnn_jasmine-wright,Jasmine Wright,"Jasmine Wright is a reporter covering the White House. Most recently, Wright was a political embed covering the 2020 presidential election, trailing then-Senator Kamala Harris during her democratic primary campaign.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/JasJWright'}]",https://us.cnn.com/profiles/jasmine-wright,https://cdn.cnn.com/cnnnext/dam/assets/181203133952-jasmine-wright-large-169.jpg
cnn_jim-acosta-profile,Jim Acosta,Jim Acosta is a CNN anchor and the network's chief domestic correspondent.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/acosta'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/jimacosta'}]",https://us.cnn.com/profiles/jim-acosta-profile,https://cdn.cnn.com/cnnnext/dam/assets/180501110147-jim-acosta-headshot-18-large-169.jpg
cnn_david-vigilante-profile,David Vigilante,"David Vigilante is Executive Vice President, and General Counsel for CNN and Warner Media News and Sports.",[],https://us.cnn.com/profiles/david-vigilante-profile,https://cdn.cnn.com/cnnnext/dam/assets/170516173728-david-vigilante-profile-2017-large-169.jpg
cnn_stacey-wolf,Stacey Wolf,Stacey Wolf is the senior vice president of Business Affairs for CNN Worldwide.  She joined the Company in 1998 and is based in New York.,[],https://us.cnn.com/profiles/stacey-wolf,https://cdn.cnn.com/cnnnext/dam/assets/210803170907-stacey-wolf-large-169.jpg
cnn_virginia-moseley-profile,Virginia Moseley ,Virginia Moseley serves as CNN's senior vice president of newsgathering for the network's U.S. operation.,[],https://us.cnn.com/profiles/virginia-moseley-profile,https://cdn.cnn.com/cnnnext/dam/assets/150318141908-virginia-moseley-profile-image-large-169.jpg
cnn_hines-ward-profile,Hines Ward,Hines Ward is a former professional football player and two-time Super Bowl champion who joined CNN Sports and HLN in July 2016.  ,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/mvp86hinesward'}]",https://us.cnn.com/profiles/hines-ward-profile,https://cdn.cnn.com/cnnnext/dam/assets/160812122824-hines-ward-profile-large-169.jpg
cnn_christina-zdanowicz-profile,Christina Zdanowicz,Christina identifies trending topics and important social conversations around the top stories CNN is covering each day. Assign. Write. Edit. Innovate. Repeat.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/stinaz27'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/stinaz27'}]",https://us.cnn.com/profiles/christina-zdanowicz-profile,https://cdn.cnn.com/cnnnext/dam/assets/140926160415-christina-zdanowicz-profile-image-large-169.jpg
cnn_michelle-watson,Michelle Watson,Michelle Watson is a national news editor for CNN's national newsgathering team.,[],https://us.cnn.com/profiles/michelle-watson,https://cdn.cnn.com/cnnnext/dam/assets/220318133603-michelle-watson-large-169.jpg
cnn_susie-xu-profile,Susie  Xu,"Susie Xu is the Executive Producer of Erin Burnett OutFront, which airs every night from 7-8pmET.",[],https://us.cnn.com/profiles/susie-xu-profile,https://cdn.cnn.com/cnnnext/dam/assets/200326153450-susie-xu-headshot-large-169.jpg
cnn_amanda-watts,Amanda Watts,"Amanda Watts is a senior news editor for the National Desk. Since joining CNN in 2008, she has worked on stories in all regions of the country. Thanks to a keen sense of organization, Amanda has never worn the same outfit twice.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/@CNNAmanda'}]",https://us.cnn.com/profiles/amanda-watts,https://cdn.cnn.com/cnnnext/dam/assets/200203122219-amanda-watts-headshot-large-169.jpg
cnn_whitney-wild-bio,Whitney Wild,"Whitney Wild is a law enforcement correspondent based in Washington, DC. ","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/WhitneyWReports'}]",https://us.cnn.com/profiles/whitney-wild-bio,https://cdn.cnn.com/cnnnext/dam/assets/190809113825-whitney-wild-headshot-large-169.jpg
cnn_z-byron-wolf,Zachary B. Wolf,"Zach Wolf writes the What Matters newsletter for CNN. He also serves as a senior writer for CNN Politics, where he writes political analysis and is a frequent guest on CNN's Early Start. ","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/Z-Byron-Wolf-21220673687/'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/zbyronwolf'}]",https://us.cnn.com/profiles/z-byron-wolf,https://cdn.cnn.com/cnnnext/dam/assets/170705164825-zach-wolf-large-169.jpg
cnn_zach-wade,Zach Wade,Zach Wade is a senior programming producer for CNN's core platforms,[],https://us.cnn.com/profiles/zach-wade,https://cdn.cnn.com/cnnnext/dam/assets/171122163446-zach-wade-large-169.jpg
cnn_jeffrey-toobin-profile,Jeffrey Toobin,Jeffrey Toobin is chief legal analyst for CNN Worldwide. ,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/jeffrey.toobin.7'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/JeffreyToobin'}]",https://us.cnn.com/profiles/jeffrey-toobin-profile,https://cdn.cnn.com/cnnnext/dam/assets/140926164756-jeffrey-toobin-profile-image-large-169.jpg
cnn_ariane-de-vogue-profile,Ariane de Vogue,"Ariane de Vogue serves as a reporter for CNN covering the Supreme Court and legal issues, chronicling everything from breaking news about major rulings to the evolving politics of personality among the justices. She works closely with CNN's justice team and guides network-wide reporting on Supreme Court cases and other legal developments.","[{'code_type': 'facebook', 'code_content': 'https://facebook.com/Ariane-de-Vogue-1005310649532336'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/Arianedevogue'}]",https://us.cnn.com/profiles/ariane-de-vogue-profile,https://cdn.cnn.com/cnnnext/dam/assets/150422092918-ariane-de-vogue-profile-large-169.jpg
cnn_michelle-toh-profile,Michelle Toh ,Michelle Toh is a programming editor for CNN Business based in Hong Kong.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/michelletoh235'}]",https://us.cnn.com/profiles/michelle-toh-profile,https://cdn.cnn.com/cnnnext/dam/assets/170905164448-michelle-toh-large-169.jpg
cnn_stephanie-todd,Stephanie Todd,"Stephanie Todd is Vice President of Programming at HLN (CNN Headline News), a position she was promoted to in March 2016. In this role, Todd has oversight of live news programming, including Morning Express with Robin Meade, Weekend Express and topical long form specials. ",[],https://us.cnn.com/profiles/stephanie-todd,https://cdn.cnn.com/cnnnext/dam/assets/200326142555-stephanie-todd-headshot-large-169.jpg
cnn_jacque-wilson,Jacque Smith,Jacque Smith leads CNN's domestic Digital Video production team.,"[{'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/jdwilson2'}]",https://us.cnn.com/profiles/jacque-wilson,https://cdn.cnn.com/cnnnext/dam/assets/140926164011-jacquelyn-wilson-profile-image-large-169.jpg
cnn_nick-thompson,Nick Thompson,"Nick Thompson is a London-based journalist covering Europe, the Middle East and Africa for CNN International. News tips? Email nick.thompson@cnn.com.",[],https://us.cnn.com/profiles/nick-thompson,https://cdn.cnn.com/cnnnext/dam/assets/140929111003-nick-thompson-profile-image-large-169.jpg
cnn_dan-tham-profile,Dan Tham,Dan Tham is a Producer for CNN's Global Features team based in Hong Kong. ,"[{'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/danqtham'}]",https://us.cnn.com/profiles/dan-tham-profile,https://cdn.cnn.com/cnnnext/dam/assets/170901142008-dan-tham-large-169.jpg
cnn_brian-vitagliano,Brian Vitagliano,Brian Vitagliano is a Supervising Producer based in the New York Bureau.,[],https://us.cnn.com/profiles/brian-vitagliano,https://cdn.cnn.com/cnnnext/dam/assets/170814110710-brian-vitagliano-headshot-large-169.jpg
cnn_melody-taylor,Melody Taylor,"Melody Taylor is the executive producer of Morning Express with Robin Meade, the signature daily news show on HLN (CNN Headline News), overseeing its 20 hours of weekly news programming.",[],https://us.cnn.com/profiles/melody-taylor,https://cdn.cnn.com/cnnnext/dam/assets/200326142550-melody-taylor-headshot-large-169.jpg
cnn_vedika-sud,Vedika Sud,Vedika Sud is a reporter for CNN based at the network's New Delhi bureau.,[],https://us.cnn.com/profiles/vedika-sud,https://cdn.cnn.com/cnnnext/dam/assets/200331112337-vedika-sud-large-169.jpg
cnn_ryan-struyk,Ryan Struyk,"Ryan Struyk is a senior producer for State of the Union with Jake Tapper and Dana Bash on Sunday mornings in Washington, focused on writing interview questions for headliner political guests and researching current events shaping national American politics.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/ryanstruyk'}]",https://us.cnn.com/profiles/ryan-struyk,https://cdn.cnn.com/cnnnext/dam/assets/171101115645-ryan-struyk-large-169.jpg
cnn_saskya-vandoorne-profile,Saskya Vandoorne,Saskya Vandoorne is a senior field producer for CNN based in the network's Paris bureau.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/SaskyaCNN'}]",https://us.cnn.com/profiles/saskya-vandoorne-profile,https://cdn.cnn.com/cnnnext/dam/assets/180607105108-saskya-vandoorne-profile-large-169.jpg
cnn_ashley-strickland-profile,Ashley Strickland,Ashley is a space and science writer for CNN.,[],https://us.cnn.com/profiles/ashley-strickland-profile,https://cdn.cnn.com/cnnnext/dam/assets/140926154041-ashley-strickland-profile-image-large-169.jpg
cnn_anneclaire-stapleton,AnneClaire Stapleton,AnneClaire Stapleton is a Senior News Editor on CNN's International Desk based in Atlanta. ,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/AnneClaireCNN'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/AnneClaireCNN'}]",https://us.cnn.com/profiles/anneclaire-stapleton,https://cdn.cnn.com/cnnnext/dam/assets/150107162900-anneclaire-profile-photo-large-169.jpg
cnn_leinz-vales,Leinz Vales,Leinz Vales is a digital producer for CNN's Social TV team.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/LeinzCNN'}]",https://us.cnn.com/profiles/leinz-vales,https://cdn.cnn.com/cnnnext/dam/assets/140929103453-leinz-vales-profile-image-large-169.jpg
cnn_cassie-spodak,Cassie Spodak,"Cassie Spodak leads CNN's DC digital video news team covering politics. She also produces, writes, shoots and edits original news videos.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/CassieSpodak'}]",https://us.cnn.com/profiles/cassie-spodak,https://cdn.cnn.com/cnnnext/dam/assets/171101115406-cassie-spodak-large-169.jpg
cnn_rachel-smolkin,Rachel Smolkin,"Rachel Smolkin is senior vice president of global news for CNN Digital Worldwide, where she leads the breaking news, US, politics, EMEA, and APAC coverage and teams across CNN's global digital platforms.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/RachelSmolkin'}]",https://us.cnn.com/profiles/rachel-smolkin,https://cdn.cnn.com/cnnnext/dam/assets/181109122405-rachel-smolkin-large-169.jpg
cnn_laura-smith-spark,Laura Smith-Spark,"Laura Smith-Spark covers mostly Europe, Middle East and Africa news for CNN Digital in London.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/LauraSSpark'}]",https://us.cnn.com/profiles/laura-smith-spark,https://cdn.cnn.com/cnnnext/dam/assets/140929103347-laura-smith-spark-profile-image-large-169.jpg
cnn_emily-smith-profile,Emily Smith,"Emily Smith has worked at CNN since 2007. Currently a Senior Assignment Editor, she has worked in a variety of roles including Video Journalist and Researcher. Hailing from South Africa, Emily often writes about her homeland.","[{'code_type': 'twitter', 'code_content': 'https://twitter.com/https://twitter.com/EmilySmithCNN'}]",https://us.cnn.com/profiles/emily-smith-profile,https://cdn.cnn.com/cnnnext/dam/assets/170802025518-emily-smith-profile-image-large-169.jpg
cnn_zahra-ullah-profile,Zahra Ullah,"Zahra Ullah is a producer on the International Desk, based at CNN's Asia Pacific headquarters in Hong Kong. ",[],https://us.cnn.com/profiles/zahra-ullah-profile,https://cdn.cnn.com/cnnnext/dam/assets/171013100507-zahra-ullah-profile-large-169.jpg
cnn_jane-sit-profile,Jane Sit,Jane Sit is a Senior Producer with the Global Features team based in Hong Kong.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/jmsit'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/jmsit'}]",https://us.cnn.com/profiles/jane-sit-profile,https://cdn.cnn.com/cnnnext/dam/assets/170830145907-jane-sit-profile-large-169.jpg
cnn_david-shortell,David Shortell,David Shortell covers the Justice Department and federal law enforcement issues out of CNN's Washington bureau.,[],https://us.cnn.com/profiles/david-shortell,https://cdn.cnn.com/cnnnext/dam/assets/171201182235-david-shortell-headshot-large-169.jpg
cnn_darren-tome,Darren Tome,Darren Tome is the Vice President of Digital Products at CNN where he oversees the Digital News Platforms and Services (DNPS) product team.,[],https://us.cnn.com/profiles/darren-tome,https://cdn.cnn.com/cnnnext/dam/assets/150212174154-anchor-background-large-169.jpg
cnn_catherine-shoichet-profile,Catherine E. Shoichet ,Catherine Shoichet covers immigration and demographics for CNN Digital.,"[{'code_type': 'twitter', 'code_content': 'https://twitter.com/CatherineCNN'}, {'code_type': 'www.linkedin', 'code_content': 'https://www.linkedin.com/in/catherineshoichet'}]",https://us.cnn.com/profiles/catherine-shoichet-profile,https://cdn.cnn.com/cnnnext/dam/assets/140926155438-catherine-shoichet-profile-image-large-169.jpg
cnn_slma-shelbayah,Slma Shelbayah,Slma Shelbayah is an Assignment Editor/Producer for CNN Newsource and Writer for CNN Digital News. ,"[{'code_type': 'facebook', 'code_content': 'https://facebook.com/slmashelbayahcnn?fref=ts'}, {'code_type': 'twitter', 'code_content': 'https://twitter.com/SlmaCNN'}, {'code_type': 'www.instagram', 'code_content': 'https://www.instagram.com/slmashelbayah'}]",https://us.cnn.com/profiles/slma-shelbayah,https://cdn.cnn.com/cnnnext/dam/assets/171215144232-slma-shelbayah-new-profile-2-large-169.jpg
cnn_alta-spells,Alta Spells,Alta Spells is the bureau news editor for the Southeast region where she works with correspondents and producers to coordinate news coverage.  ,[],https://us.cnn.com/profiles/alta-spells,https://cdn.cnn.com/cnnnext/dam/assets/211220103442-alta-spells-large-169.jpg
